country;year;sex;age;suicides_no;population;suicides/100k pop;country-year;HDI for year;  gdp_for_year ($)  ;gdp_per_capita ($);generation
Albania;1987;male;15-24 years;21;312.900;6,71;Albania1987;;R$ 2.156.624.900;R$ 796,00;Generation X
Albania;1987;male;35-54 years;16;308.000;5,19;Albania1987;;R$ 2.156.624.900;R$ 796,00;Silent
Albania;1987;female;15-24 years;14;289.700;4,83;Albania1987;;R$ 2.156.624.900;R$ 796,00;Generation X
Albania;1987;male;75+ years;1;21.800;4,59;Albania1987;;R$ 2.156.624.900;R$ 796,00;G.I. Generation
Albania;1987;male;25-34 years;9;274.300;3,28;Albania1987;;R$ 2.156.624.900;R$ 796,00;Boomers
Albania;1987;female;75+ years;1;35.600;2,81;Albania1987;;R$ 2.156.624.900;R$ 796,00;G.I. Generation
Albania;1987;female;35-54 years;6;278.800;2,15;Albania1987;;R$ 2.156.624.900;R$ 796,00;Silent
Albania;1987;female;25-34 years;4;257.200;1,56;Albania1987;;R$ 2.156.624.900;R$ 796,00;Boomers
Albania;1987;male;55-74 years;1;137.500;0,73;Albania1987;;R$ 2.156.624.900;R$ 796,00;G.I. Generation
Albania;1987;female;5-14 years;0;311.000;0;Albania1987;;R$ 2.156.624.900;R$ 796,00;Generation X
Albania;1987;female;55-74 years;0;144.600;0;Albania1987;;R$ 2.156.624.900;R$ 796,00;G.I. Generation
Albania;1987;male;5-14 years;0;338.200;0;Albania1987;;R$ 2.156.624.900;R$ 796,00;Generation X
Albania;1988;female;75+ years;2;36.400;5,49;Albania1988;;R$ 2.126.000.000;R$ 769,00;G.I. Generation
Albania;1988;male;15-24 years;17;319.200;5,33;Albania1988;;R$ 2.126.000.000;R$ 769,00;Generation X
Albania;1988;male;75+ years;1;22.300;4,48;Albania1988;;R$ 2.126.000.000;R$ 769,00;G.I. Generation
Albania;1988;male;35-54 years;14;314.100;4,46;Albania1988;;R$ 2.126.000.000;R$ 769,00;Silent
Albania;1988;male;55-74 years;4;140.200;2,85;Albania1988;;R$ 2.126.000.000;R$ 769,00;G.I. Generation
Albania;1988;female;15-24 years;8;295.600;2,71;Albania1988;;R$ 2.126.000.000;R$ 769,00;Generation X
Albania;1988;female;55-74 years;3;147.500;2,03;Albania1988;;R$ 2.126.000.000;R$ 769,00;G.I. Generation
Albania;1988;female;25-34 years;5;262.400;1,91;Albania1988;;R$ 2.126.000.000;R$ 769,00;Boomers
Albania;1988;male;25-34 years;5;279.900;1,79;Albania1988;;R$ 2.126.000.000;R$ 769,00;Boomers
Albania;1988;female;35-54 years;4;284.500;1,41;Albania1988;;R$ 2.126.000.000;R$ 769,00;Silent
Albania;1988;female;5-14 years;0;317.200;0;Albania1988;;R$ 2.126.000.000;R$ 769,00;Generation X
Albania;1988;male;5-14 years;0;345.000;0;Albania1988;;R$ 2.126.000.000;R$ 769,00;Generation X
Albania;1989;male;75+ years;2;22.500;8,89;Albania1989;;R$ 2.335.124.988;R$ 833,00;G.I. Generation
Albania;1989;male;25-34 years;18;283.600;6,35;Albania1989;;R$ 2.335.124.988;R$ 833,00;Boomers
Albania;1989;male;35-54 years;15;318.400;4,71;Albania1989;;R$ 2.335.124.988;R$ 833,00;Silent
Albania;1989;male;55-74 years;6;142.100;4,22;Albania1989;;R$ 2.335.124.988;R$ 833,00;G.I. Generation
Albania;1989;male;15-24 years;12;323.500;3,71;Albania1989;;R$ 2.335.124.988;R$ 833,00;Generation X
Albania;1989;female;35-54 years;7;288.600;2,43;Albania1989;;R$ 2.335.124.988;R$ 833,00;Silent
Albania;1989;female;15-24 years;5;299.900;1,67;Albania1989;;R$ 2.335.124.988;R$ 833,00;Generation X
Albania;1989;female;25-34 years;2;266.300;0,75;Albania1989;;R$ 2.335.124.988;R$ 833,00;Boomers
Albania;1989;female;55-74 years;1;149.600;0,67;Albania1989;;R$ 2.335.124.988;R$ 833,00;G.I. Generation
Albania;1989;female;5-14 years;0;321.900;0;Albania1989;;R$ 2.335.124.988;R$ 833,00;Generation X
Albania;1989;female;75+ years;0;37.000;0;Albania1989;;R$ 2.335.124.988;R$ 833,00;G.I. Generation
Albania;1989;male;5-14 years;0;349.700;0;Albania1989;;R$ 2.335.124.988;R$ 833,00;Generation X
Albania;1992;male;35-54 years;12;343.800;3,49;Albania1992;;R$ 709.452.584;R$ 251,00;Boomers
Albania;1992;male;15-24 years;9;263.700;3,41;Albania1992;;R$ 709.452.584;R$ 251,00;Generation X
Albania;1992;male;55-74 years;5;159.500;3,13;Albania1992;;R$ 709.452.584;R$ 251,00;Silent
Albania;1992;male;25-34 years;7;245.500;2,85;Albania1992;;R$ 709.452.584;R$ 251,00;Boomers
Albania;1992;female;15-24 years;7;292.400;2,39;Albania1992;;R$ 709.452.584;R$ 251,00;Generation X
Albania;1992;female;25-34 years;4;267.400;1,5;Albania1992;;R$ 709.452.584;R$ 251,00;Boomers
Albania;1992;female;35-54 years;2;323.100;0,62;Albania1992;;R$ 709.452.584;R$ 251,00;Boomers
Albania;1992;female;55-74 years;1;164.900;0,61;Albania1992;;R$ 709.452.584;R$ 251,00;Silent
Albania;1992;female;5-14 years;0;336.700;0;Albania1992;;R$ 709.452.584;R$ 251,00;Millenials
Albania;1992;female;75+ years;0;38.700;0;Albania1992;;R$ 709.452.584;R$ 251,00;G.I. Generation
Albania;1992;male;5-14 years;0;362.900;0;Albania1992;;R$ 709.452.584;R$ 251,00;Millenials
Albania;1992;male;75+ years;0;23.900;0;Albania1992;;R$ 709.452.584;R$ 251,00;G.I. Generation
Albania;1993;male;15-24 years;18;243.300;7,4;Albania1993;;R$ 1.228.071.038;R$ 437,00;Generation X
Albania;1993;male;55-74 years;7;165.000;4,24;Albania1993;;R$ 1.228.071.038;R$ 437,00;Silent
Albania;1993;male;75+ years;1;24.200;4,13;Albania1993;;R$ 1.228.071.038;R$ 437,00;G.I. Generation
Albania;1993;male;25-34 years;9;230.100;3,91;Albania1993;;R$ 1.228.071.038;R$ 437,00;Boomers
Albania;1993;female;15-24 years;10;285.300;3,51;Albania1993;;R$ 1.228.071.038;R$ 437,00;Generation X
Albania;1993;male;35-54 years;10;350.300;2,85;Albania1993;;R$ 1.228.071.038;R$ 437,00;Boomers
Albania;1993;female;25-34 years;7;261.800;2,67;Albania1993;;R$ 1.228.071.038;R$ 437,00;Boomers
Albania;1993;female;35-54 years;7;331.200;2,11;Albania1993;;R$ 1.228.071.038;R$ 437,00;Boomers
Albania;1993;female;55-74 years;2;169.500;1,18;Albania1993;;R$ 1.228.071.038;R$ 437,00;Silent
Albania;1993;female;5-14 years;1;340.300;0,29;Albania1993;;R$ 1.228.071.038;R$ 437,00;Millenials
Albania;1993;male;5-14 years;1;367.000;0,27;Albania1993;;R$ 1.228.071.038;R$ 437,00;Millenials
Albania;1993;female;75+ years;0;39.300;0;Albania1993;;R$ 1.228.071.038;R$ 437,00;G.I. Generation
Albania;1994;male;75+ years;2;24.600;8,13;Albania1994;;R$ 1.985.673.798;R$ 697,00;G.I. Generation
Albania;1994;male;55-74 years;11;171.400;6,42;Albania1994;;R$ 1.985.673.798;R$ 697,00;Silent
